Year,Month,PrimaryType,Location Description,Arrest,Latitude,Longitude
G,A,A,L,0,41.90980431,-87.65160639
G,A,D,H,0,41.69012424,-87.65853306
G,A,F,H,1,41.89494791,-87.75478681
G,A,M,H,0,41.94486956,-87.67361125
G,A,O,G,0,41.90660361,-87.63006535
G,A,M,G,0,41.78310812,-87.70568248
G,A,A,C,0,42.01632937,-87.69020929
G,A,M,H,0,41.85668517,-87.68207276
G,A,M,O,0,41.97261024,-87.72572069
G,A,O,G,0,41.88099052,-87.70463737
G,A,A,H,0,41.92421413,-87.69948764
G,A,A,H,0,41.89551183,-87.64051544
G,A,A,C,0,41.99144,-87.65825845
G,A,M,H,0,41.7869399,-87.71697177
G,A,D,H,0,41.74018606,-87.67411295
G,A,M,H,0,41.88917929,-87.64025334
G,A,L,G,0,41.7689243,-87.61856144
G,A,L,K,0,41.83017665,-87.69054227
G,A,A,H,0,41.97920734,-87.84212985
G,A,A,I,0,41.89670812,-87.62607849
G,A,D,H,1,41.87429017,-87.73095614
G,A,L,H,0,41.73651625,-87.64727945
G,A,A,H,0,41.93935096,-87.77728028
G,A,A,L,0,41.91857831,-87.63618385
G,A,L,C,0,41.80554166,-87.72229159
G,A,L,H,1,41.8943655,-87.71262335
G,A,M,H,0,41.90553386,-87.63871359
G,A,O,O,0,42.00349651,-87.66410232
G,A,L,H,0,41.86832621,-87.69673942
G,A,M,G,0,41.92132781,-87.72912498
G,A,M,G,0,41.7606522,-87.70832411
G,A,A,H,0,41.90997113,-87.7185854
G,A,D,O,1,41.84501879,-87.62362025
G,A,L,L,1,41.97533468,-87.69231358
G,A,A,H,0,41.8401367,-87.65124175
G,A,O,C,0,41.96708521,-87.71577152
G,A,L,H,1,41.90296164,-87.66586585
G,A,D,H,0,41.75370262,-87.65260843
G,A,A,C,1,41.9235413,-87.72063051
G,A,A,K,0,41.88574103,-87.63171175
G,A,A,I,0,41.85200214,-87.68864639
G,A,C,H,0,41.72118063,-87.62371719
G,A,A,H,0,41.90712726,-87.67823202
G,A,M,I,1,41.90626632,-87.72734573
G,A,O,H,1,41.90579282,-87.72550608
G,A,O,O,0,41.90440483,-87.75702308
G,A,M,G,0,42.0009407,-87.67820508
G,A,D,H,0,41.74751445,-87.57590946
G,A,A,G,0,41.80938056,-87.70643847
G,A,L,G,0,41.75973464,-87.70865189
G,A,A,I,1,41.77979855,-87.64164874
G,A,M,C,0,41.86196283,-87.72261374
G,A,H,H,1,41.79892919,-87.67579974
G,D,M,H,0,41.75690645,-87.55552398
G,A,A,I,1,41.79621616,-87.72324567
G,A,A,H,0,41.79884914,-87.66714538
G,A,M,G,0,41.93080112,-87.64528971
G,A,A,H,0,41.91049914,-87.67665453
G,A,O,C,0,41.75812725,-87.5546516
G,A,O,H,0,41.92505513,-87.73291147
G,A,L,K,0,41.92490244,-87.76602531
G,A,A,J,0,41.89674285,-87.72612449
G,A,M,H,0,41.80312396,-87.66653994
G,A,O,K,0,41.80614551,-87.68379893
G,A,M,K,0,41.83463733,-87.64619955
G,A,M,C,0,41.79665035,-87.69754459
G,A,M,C,0,41.7489716,-87.63345222
G,A,O,K,0,42.00106499,-87.66125447
G,A,L,H,0,41.7433302,-87.6001502
G,A,A,H,0,41.72294624,-87.61416998
G,A,A,G,0,42.00176662,-87.70219157
G,A,O,H,1,41.9236483,-87.80394723
G,A,M,C,0,41.76709946,-87.58791867
G,A,M,C,0,42.01794844,-87.68338864
G,A,D,K,0,41.73701655,-87.66795333
G,A,F,H,1,41.88889117,-87.7234591
G,A,O,O,0,41.80858824,-87.66661166
G,A,L,C,0,41.75271165,-87.56140167
G,A,L,H,0,41.90733626,-87.71036332
G,A,A,H,0,41.73734171,-87.55462062
G,A,A,K,0,41.95460501,-87.70925985
G,A,A,I,0,41.8752549,-87.62761856
G,A,O,G,0,41.88357606,-87.68158308
G,A,O,G,0,41.75105951,-87.55894412
G,A,L,H,0,41.69188791,-87.64358358
G,A,L,C,0,41.90942904,-87.76131662
G,A,A,I,1,41.7223626,-87.58382047
G,A,A,O,0,41.9737674,-87.66813524
G,A,A,K,0,41.77901282,-87.66420869
G,A,L,K,0,41.89474227,-87.77308723
G,A,A,O,0,41.78575449,-87.70333565
G,A,A,C,0,41.87619893,-87.72395798
G,D,M,H,1,41.75669291,-87.58831398
G,A,A,I,0,41.6905675,-87.62102585
G,A,M,H,1,41.69364097,-87.64120687
G,A,O,H,0,41.81483732,-87.66999145
G,A,L,K,0,41.94725226,-87.65350869
G,A,B,I,0,41.74243385,-87.66323649
G,A,H,H,1,41.86000709,-87.73477584
G,A,A,C,0,41.85547491,-87.70122031
G,A,L,H,0,41.86017298,-87.71890108
G,A,A,I,0,41.89482155,-87.63213393
G,A,M,J,1,41.86684367,-87.62581667
G,A,A,K,0,41.86742869,-87.62634257
G,A,A,I,0,41.93374417,-87.64458185
G,A,O,H,0,41.81743728,-87.68997267
G,A,M,C,0,41.80086555,-87.62262231
G,A,L,L,0,41.7782825,-87.59302095
G,A,O,K,0,41.80993606,-87.62718052
G,A,A,H,0,41.92107199,-87.74378843
G,A,D,H,0,41.74046748,-87.67533389
G,A,H,H,1,41.76112493,-87.58619916
G,A,M,L,0,41.7206673,-87.63444076
G,A,M,I,0,41.8164553,-87.59855738
G,A,O,G,0,41.77784884,-87.59301127
G,A,O,C,0,41.95195534,-87.64788558
G,D,H,C,0,41.79295158,-87.67426564
G,A,A,H,0,41.78221497,-87.62210968
G,A,A,I,1,41.96307079,-87.65598421
G,A,A,N,0,41.95433899,-87.66539622
G,A,L,G,0,0,0
G,A,A,H,0,0,0
G,A,A,I,1,41.74271022,-87.63408818
G,A,L,H,0,41.91225099,-87.68020396
G,A,L,C,0,41.77499716,-87.64366169
G,A,A,H,0,41.77158045,-87.70891089
G,A,L,H,0,41.77623046,-87.72758154
G,A,M,G,0,41.7842284,-87.66069318
G,A,M,H,0,41.95299053,-87.7808564
G,A,O,G,0,41.89930886,-87.76919781
G,A,A,H,0,41.88071535,-87.72643416
G,A,M,C,0,41.87716145,-87.67653695
G,A,A,F,0,41.73845396,-87.67165013
G,A,M,G,1,41.74775504,-87.5576756
G,A,L,G,0,41.94021013,-87.78187827
G,A,O,C,0,41.81811276,-87.60674129
G,A,F,H,1,41.73679185,-87.55003273
G,A,L,O,0,41.81752598,-87.62305444
G,A,A,I,1,41.93158252,-87.74274717
G,A,D,H,0,41.68420096,-87.65185152
G,A,A,H,0,41.92539845,-87.6523113
G,D,O,C,0,41.90932367,-87.76997665
G,A,M,H,0,41.90106741,-87.66291756
G,A,M,H,0,41.90746342,-87.64882829
G,A,L,K,0,41.75152891,-87.54804686
G,A,M,G,0,41.86783713,-87.69960796
G,A,F,H,1,41.75329923,-87.68293203
G,A,C,G,0,41.9414531,-87.75561631
G,A,O,C,0,41.87949014,-87.74624917
G,A,M,G,0,41.8128912,-87.69067478
G,A,A,O,0,41.92453639,-87.72249138
G,A,M,J,1,41.70709533,-87.62883442
G,D,F,H,1,41.76449766,-87.56497721
G,A,F,F,1,41.87619698,-87.72410855
G,A,O,C,0,41.81161,-87.66383286
G,A,O,I,0,41.81508969,-87.70261538
G,D,O,I,0,41.9236198,-87.7925305
G,A,O,G,0,41.75433146,-87.63439085
G,A,A,H,0,41.9493967,-87.64955252
G,A,A,I,1,41.93543292,-87.66850434
G,A,M,C,0,41.92637329,-87.77215647
G,A,A,H,0,0,0
G,A,A,I,0,41.89068689,-87.64681851
G,A,A,K,0,0,0
G,A,A,K,0,41.89026522,-87.63108931
G,A,L,C,1,41.76427307,-87.58205731
G,A,L,K,0,41.9098032,-87.73248499
G,A,F,H,1,41.88074849,-87.72388171
G,A,C,G,0,41.8768662,-87.74348621
G,A,L,G,0,41.77652336,-87.69698452
G,A,H,G,0,41.93184187,-87.64083906
G,D,A,I,1,41.903142,-87.63077557
G,A,O,H,1,41.85712136,-87.6686333
G,A,A,O,0,41.88347549,-87.62787697
G,A,O,C,0,41.79910412,-87.58550878
G,D,O,C,0,41.90666648,-87.75232
G,A,O,G,0,41.81429507,-87.72627291
G,A,M,I,1,41.95290821,-87.7871656
G,A,D,H,0,41.9232881,-87.72306917
G,A,F,H,1,41.88584576,-87.7062644
G,A,L,H,0,0,0
G,A,L,C,0,41.78584811,-87.60758238
G,A,E,K,0,41.78623088,-87.64251462
G,A,M,C,0,41.88191589,-87.73663151
G,A,A,O,1,41.84917876,-87.73015675
G,A,L,C,0,41.80710127,-87.58640245
G,A,L,C,0,41.94439297,-87.74123216
G,A,A,H,0,41.73694053,-87.64663741
G,A,L,H,0,42.0122934,-87.69971411
G,A,L,C,0,41.97531009,-87.65322509
G,A,A,H,0,41.90413503,-87.74924876
G,A,A,H,0,41.93448052,-87.75408052
G,A,A,K,0,41.90943667,-87.76064426
G,A,L,C,1,42.00589997,-87.66496753
G,A,A,F,0,41.91692903,-87.80603093
G,A,M,K,0,0,0
G,A,O,G,0,41.64703874,-87.61605024
G,A,A,I,0,41.79580781,-87.76177065
G,A,O,G,0,41.75811946,-87.59078244
G,A,M,H,0,41.7624405,-87.6661806
G,A,A,H,0,41.96555689,-87.71174158
G,A,M,H,0,41.76251462,-87.66618349
G,A,M,H,0,41.76249813,-87.66618
G,A,M,H,0,41.76247892,-87.6661802
G,A,C,K,1,41.6848074,-87.61797392
G,A,L,H,0,41.87682748,-87.71575999
G,A,M,H,0,41.87963044,-87.73672989
G,D,A,H,0,41.87857641,-87.70528895
G,A,F,H,1,41.74864102,-87.60759118
G,A,A,C,0,41.78145923,-87.62061111
G,A,L,F,0,41.69339208,-87.64362976
G,A,A,K,0,41.89494596,-87.75494476
G,A,A,L,0,41.73625985,-87.6280468
G,A,A,C,0,41.81353908,-87.66995715
G,A,A,I,1,41.93995689,-87.65098392
G,D,L,G,0,41.97525267,-87.6569768
G,A,A,K,0,41.86187922,-87.71163442
G,A,L,F,0,41.85924477,-87.6941424
G,A,A,J,0,41.71375388,-87.64298726
G,A,L,H,1,41.90763844,-87.75994396
G,A,O,C,0,41.71720576,-87.53528247
G,A,A,I,1,41.79621616,-87.72324567
G,A,H,H,1,41.78120544,-87.61204546
G,A,O,G,0,41.68813842,-87.66576628
G,A,A,O,1,41.68181699,-87.68084454
G,A,M,C,0,41.79038043,-87.7328828
G,A,D,H,0,41.7504946,-87.70363289
G,A,A,H,0,41.88222113,-87.67737381
G,A,D,G,0,41.92272584,-87.78572177
G,A,M,G,0,0,0
G,A,A,C,0,41.88407478,-87.72186705
G,A,L,C,0,41.88108866,-87.72076449
G,A,L,G,0,41.89272469,-87.71013438
G,A,H,K,1,41.76945288,-87.66394147
G,A,M,C,0,41.81061071,-87.59353651
G,D,F,M,1,41.86421787,-87.70217315
G,A,C,N,0,41.8065663,-87.62276471
G,A,L,H,1,41.9038907,-87.63204572
G,A,M,G,0,41.71876729,-87.53528513
G,A,L,C,1,41.77896639,-87.61559754
G,A,M,K,1,41.97622986,-87.66592879
G,A,L,G,1,41.74961032,-87.54679496
G,A,M,O,0,0,0
G,A,O,H,1,41.97326348,-87.65843572
G,A,L,H,0,0,0
G,A,L,H,0,41.894925,-87.75623415
G,D,A,K,0,41.94900634,-87.68832056
G,A,L,I,1,41.96137851,-87.65474101
G,A,F,H,1,41.79389936,-87.67587682
G,A,L,H,0,41.88173662,-87.75143211
G,A,A,H,0,41.84938154,-87.71615251
G,A,B,H,1,41.93118472,-87.77288238
G,D,C,I,0,41.87826021,-87.6254484
G,A,O,C,1,41.78288115,-87.62377425
G,A,L,H,1,41.95111226,-87.65517709
G,A,B,G,0,41.8561895,-87.65151536
G,A,A,H,1,41.91739089,-87.70779646
G,A,M,G,0,41.73767554,-87.62264162
G,A,L,G,0,41.87405554,-87.74605658
G,A,O,G,0,41.76270566,-87.64920344
G,A,A,H,0,41.97355843,-87.65493535
G,A,L,H,1,41.90383004,-87.63605412
G,D,A,H,0,41.87992179,-87.65708705
G,A,L,H,0,41.78350987,-87.69838941
G,A,F,H,1,41.90184246,-87.72627821
G,A,M,L,0,41.79882807,-87.59972698
G,A,A,F,0,41.74766176,-87.66701157
G,D,O,H,0,41.77691653,-87.70309219
G,A,L,H,0,41.91265933,-87.76636153
G,A,A,H,0,41.77577702,-87.61551579
G,D,L,M,0,41.73301545,-87.56832745
G,A,L,H,1,41.77107306,-87.56827866
G,A,J,H,1,41.86623296,-87.7205649
G,A,A,I,1,41.79621616,-87.72324567
G,A,H,A,0,41.76775624,-87.65540342
G,A,A,C,1,41.77147019,-87.59074212
G,A,M,L,0,41.87038976,-87.6259024
G,A,A,H,0,41.91939302,-87.68922147
G,A,F,K,1,41.76775624,-87.65540342
G,A,F,H,1,41.88191379,-87.73675639
G,A,A,K,0,41.96605427,-87.73669641
G,A,L,C,1,41.76923251,-87.68826242
G,D,M,K,1,41.8628421,-87.70046
G,A,A,G,0,41.80321758,-87.65907154
G,A,M,G,0,41.77697887,-87.67505979
G,A,A,O,1,41.92146392,-87.6735805
G,A,D,K,0,41.76803386,-87.6517678
G,A,L,G,1,41.76812676,-87.65541052
G,A,O,H,1,41.78651708,-87.64860567
G,A,L,H,1,41.76769964,-87.65418335
G,A,O,C,0,41.8032982,-87.65319504
G,A,A,G,0,41.82176755,-87.70030824
G,A,L,G,0,41.79599755,-87.64843142
G,A,L,G,0,41.83210754,-87.64856765
G,D,M,L,1,41.70276179,-87.56375715
G,A,H,H,1,41.8169734,-87.70432475
G,A,O,G,0,41.85580117,-87.72608612
G,A,L,H,0,41.93017467,-87.77228485
G,A,L,C,0,41.70594079,-87.53891183
G,A,L,G,0,41.74912194,-87.5540605
G,A,M,F,0,41.89735009,-87.75443455
